Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.97275,0.9728864146771987,0.97275,0.9714735178439248
Decision Tree,0.9745,0.9753019732466548,0.9745,0.9728717834100803
Naive Bayes,0.97,0.9717019550356533,0.97,0.9674301022115774
