Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9738333333333333,0.9776823873541344,0.9738333333333333,0.9719395266352162
Decision Tree,0.9708333333333333,0.9740562785447792,0.9708333333333333,0.9682634991069041
Random Forest,0.9706666666666667,0.9725093103367607,0.9706666666666667,0.9676919019006414
Naive Bayes,0.9691666666666666,0.9724663349178208,0.9691666666666666,0.9658508365574677
