Feature,Importance
ports_out_of_service,0.4648671424397051
ports_available,0.17509685733047045
estimated_wait_time_mins,0.16232450790359013
ports_occupied,0.04569248987299554
utilization_rate,0.025085925651809383
ports_total,0.01712545289217464
hour_of_day,0.00867776470293249
temperature_f,0.008248187762146525
gas_price_per_gallon,0.008168093668015566
timestamp,0.007869058471081054
avg_session_duration_mins,0.006834165142661652
current_price,0.005988755706675089
latitude,0.005766599307962158
station_id,0.005446649746927938
amenities_nearby,0.005291987903565947
location_type,0.005279044826387013
traffic_congestion_index,0.0052035003318580695
station_name,0.005155951608046145
longitude,0.004431165520639862
day_of_week,0.0038599717222860368
weather_condition,0.003065320013743703
city,0.0029649075536579746
state,0.0029445718008811834
month,0.0028015815976977555
power_output_kw,0.002718178082952485
precipitation_mm,0.002325436074339677
network,0.0018628639572434318
charger_type,0.001541437677269589
is_peak_hour,0.001208195344470351
is_weekend,0.0010803148879628209
local_event,0.0006086723406353304
pricing_type,0.00046524815721479015
